#::#!!I,TimeStamp::TimeStamp!!D,Markers::Markers,R3_DensMeanChannel0::R3_Fluo-4,R3_DensMeanChannel1::R3_F0,R3_Ratio::R3_Ratio values,R3_DensMeanChannel0BGCorr::R3_Fluo-4(-BG),R3_DensMeanChannel1BGCorr::R3_F0(-BG),R3_RatioBGCorr::R3_Ratio values (- BG),R2_DensMeanChannel0::R2_Fluo-4,R2_DensMeanChannel1::R2_F0,R2_Ratio::R2_Ratio values,R2_DensMeanChannel0BGCorr::R2_Fluo-4(-BG),R2_DensMeanChannel1BGCorr::R2_F0(-BG),R2_RatioBGCorr::R2_Ratio values (- BG),R1_DensMeanChannel0::R1_Fluo-4,R1_DensMeanChannel1::R1_F0,R1_Ratio::R1_Ratio values,R1_DensMeanChannel0BGCorr::R1_Fluo-4(-BG),R1_DensMeanChannel1BGCorr::R1_F0(-BG),R1_RatioBGCorr::R1_Ratio values (- BG)
,,,,,,,,,,,,,,,,,,,,
86,,,3243.092285,3090.330811,1.049432158,1105.984619,951.2999878,1.162603378,2944.281738,2732.387207,1.077549219,807.1740112,593.3565674,1.360352397,2382.943359,2351.641602,1.013310671,245.8357086,212.610733,1.156271338
87,,,3173.615479,3090.330811,1.026950121,1036.50769,951.2999878,1.089569688,2874.47876,2732.387207,1.052002668,737.3711548,593.3565674,1.242711782,2348.52832,2351.641602,0.998676181,211.4206085,212.610733,0.994402289
88,,,3127.376953,3090.330811,1.011987805,994.8846436,951.2999878,1.045815825,2802.309814,2732.387207,1.025590301,669.8175659,593.3565674,1.128861785,2322.943359,2351.641602,0.987796545,190.4510956,212.610733,0.89577359
89,,,3093.600098,3090.330811,1.001057863,960.0615234,951.2999878,1.00921011,2759.211182,2732.387207,1.009817004,625.6727905,593.3565674,1.054463506,2312.302002,2351.641602,0.98327142,178.7634277,212.610733,0.840801477
90,,,3075.384521,3090.330811,0.99516356,938.3384399,951.2999878,0.986374915,2728.676025,2732.387207,0.998641729,591.6298828,593.3565674,0.997090042,2304.302002,2351.641602,0.979869545,167.2557373,212.610733,0.78667587
91,,,3054.584717,3090.330811,0.988432884,925.4154053,951.2999878,0.972790241,2701.52124,2732.387207,0.988703609,572.3518677,593.3565674,0.964600265,2298.037842,2351.641602,0.977205813,168.8684998,212.610733,0.794261396
92,,,3042.215332,3090.330811,0.984430373,905.7230835,951.2999878,0.952089846,2686.197266,2732.387207,0.983095288,549.704895,593.3565674,0.92643261,2297.962158,2351.641602,0.977173686,161.4699554,212.610733,0.759462833
93,,,3034.276855,3090.330811,0.981861532,893.3538208,951.2999878,0.939087391,2677.915527,2732.387207,0.980064392,536.9924316,593.3565674,0.905007958,2295.697998,2351.641602,0.976210892,154.7750397,212.610733,0.727973759
94,,,3025.169189,3090.330811,0.97891438,884.8615112,951.2999878,0.930160344,2676.056396,2732.387207,0.979383945,535.7486572,593.3565674,0.902911842,2294.188721,2351.641602,0.975569069,153.8809814,212.610733,0.723768651
95,,,3020.984619,3090.330811,0.977560282,889.2307739,951.2999878,0.934753239,2666.647949,2732.387207,0.975940645,534.894043,593.3565674,0.901471555,2288.452881,2351.641602,0.973129988,156.6989899,212.610733,0.737022877
96,,,3001.415283,3090.330811,0.971227884,867.0153809,951.2999878,0.911400616,2658.98584,2732.387207,0.973136544,524.5859375,593.3565674,0.884098947,2289.13208,2351.641602,0.973418832,154.7320709,212.610733,0.727771699
97,,,2992.430664,3090.330811,0.968320549,858.0307617,951.2999878,0.901956022,2654.816895,2732.387207,0.971610725,520.4169312,593.3565674,0.877072811,2284.981201,2351.641602,0.9716537,150.581131,212.610733,0.708248019
